Vorname;Nachname;Team;Rennzeit;flagge
Dennis;Castillo Sims;Toyota F1 Team;1:00:17.374;germany
Julian;Gerlach;Toyota F1 Team;+32.780;germany
Sharl;Riccalo;Porsche;+50.717;afghanistan
Christian;Beckmann;Mercedes amg;+1:03.872;monaco
Markus;Gerson;Williams Racing;+1:26.774;germany
Kenny;Gomez;Lunzit Red Bull Racing;+1:41.924 (+20s);germany
Marek;McKane;F1 Bros Reserve;+1 Lap (+5s);germany
Dennis;Porbadnik;Jordan Grand Prix;+1 Lap;germany
Oliver;Bolvron;Hugo Bros Bentley;+1 Lap;iceland
Dominik Heinz;Porbadnik;Jordan Grand Prix;+2 Laps;germany
Tobias;Thiele;Lunzit Red Bull Racing;+2 Laps (+5s);germany
Lea;Luxemburg;Scuderia Ferrari;+2 Laps;germany
Martin;Felix;F1 Bros Reserve;+2 Laps;germany
Julian;Klaffenböck;Sauber Honda;+3 Laps;austria
Jan-Niklas;Weiter;Porsche;DNF;germany
Noah;Bergmann;Williams Racing;DNS;germany